name,price,sku,description
Wireless Mouse,29.99,MOUSE-001,Ergonomic wireless mouse with 2.4GHz USB receiver
USB-C Cable,9.99,CABLE-002,1m USB-C to USB-A cable with fast charging support
Mechanical Keyboard,79.99,KEYBOARD-003,TKL RGB mechanical keyboard with blue switches
Laptop Stand,34.95,STAND-004,Adjustable aluminum laptop stand
HD Webcam,49.50,WEBCAM-005,1080p webcam with built-in microphone
Portable SSD 1TB,109.99,SSD-006,High-speed external solid state drive
Bluetooth Speaker,25.00,SPEAKER-007,Mini wireless Bluetooth speaker with deep bass
Gaming Chair,199.99,CHAIR-008,Ergonomic gaming chair with lumbar support
Monitor 24 inch,149.99,MONITOR-009,FHD IPS display with HDMI & VGA input
Graphic Tablet,89.99,TABLET-010,Drawing tablet with stylus for digital artists
USB Hub 4-Port,14.99,HUB-011,High-speed USB 3.0 4-port hub
Noise Cancelling Headphones,129.95,HEADPHONE-012,Over-ear wireless headphones with ANC
Smartphone Tripod,19.99,TRIPOD-013,Flexible tripod for phone & DSLR use
Power Bank 10000mAh,22.50,POWER-014,Dual port portable charger
Desk Lamp LED,18.99,LAMP-015,Adjustable LED desk lamp with USB charging
